record_type,path,parent_path,sweep_id,filigree_task,risk_rating,priority,loc,tracked_files,max_child_risk,risk_factors
file,src/elspeth/web/frontend/src/hooks/useHashRouter.test.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,399,,,chunk:S-FRONTEND-API-STATE; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/hooks/useHashRouter.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,237,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/hooks/useInterpretationResolver.test.tsx,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,216,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/hooks/useInterpretationResolver.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,339,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/hooks/useNarrativeMode.test.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,160,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/hooks/useNarrativeMode.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,130,,,chunk:S-FRONTEND-API-STATE
file,src/elspeth/web/frontend/src/hooks/useRecoveryPanel.test.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,211,,,chunk:S-FRONTEND-API-STATE; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/hooks/useRecoveryPanel.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,106,,,chunk:S-FRONTEND-API-STATE
file,src/elspeth/web/frontend/src/hooks/useSession.test.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,228,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/hooks/useSession.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,40,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/hooks/useSharedToken.test.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,76,,,chunk:S-FRONTEND-API-STATE; dense boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/hooks/useSharedToken.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,56,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/hooks/useTheme.test.tsx,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,40,,,chunk:S-FRONTEND-API-STATE; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/hooks/useTheme.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,150,,,chunk:S-FRONTEND-API-STATE; load-bearing/debt comments; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/hooks/useWebSocket.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,23,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
folder,src/elspeth/web/frontend/src/lib/,src/elspeth/web/frontend/src,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,3,1,3,rollup:S-FRONTEND-API-STATE; files:1; max_child_risk:3; avg_child_risk:3.00; tiny/package glue=1
file,src/elspeth/web/frontend/src/lib/composer-events.ts,src/elspeth/web/frontend/src/lib,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,3,,,chunk:S-FRONTEND-API-STATE; tiny/package glue
file,src/elspeth/web/frontend/src/main.tsx,src/elspeth/web/frontend/src,S-FRONTEND-APP-SHELL,elspeth-cf691873fb,3,P2,14,,,chunk:S-FRONTEND-APP-SHELL
folder,src/elspeth/web/frontend/src/stores/,src/elspeth/web/frontend/src,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,5,P1,9406,22,5,rollup:S-FRONTEND-API-STATE; files:22; max_child_risk:5; avg_child_risk:3.73; boundary/audit/config vocabulary=13; test/support file under src=11; capped<=3=11; dense boundary/audit/config vocabulary=9
file,src/elspeth/web/frontend/src/stores/auditReadinessStore.test.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,303,,,chunk:S-FRONTEND-API-STATE; dense boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/stores/auditReadinessStore.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,277,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/stores/authStore.test.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,54,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/stores/authStore.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,5,P1,100,,,chunk:S-FRONTEND-API-STATE; dense boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/stores/blobStore.test.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,233,,,chunk:S-FRONTEND-API-STATE; dense boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/stores/blobStore.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,5,P1,98,,,chunk:S-FRONTEND-API-STATE; dense boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/stores/executionStore.test.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,669,,,chunk:S-FRONTEND-API-STATE; medium-large-file>=500loc; load-bearing/debt comments; dense boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/stores/executionStore.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,5,P1,582,,,chunk:S-FRONTEND-API-STATE; high-risk role/name; medium-large-file>=500loc; load-bearing/debt comments; dense boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/stores/inlineSourceStore.test.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,183,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/stores/inlineSourceStore.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,210,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/stores/interpretationEventsStore.test.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,494,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/stores/interpretationEventsStore.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,380,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/stores/preferencesStore.test.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,553,,,chunk:S-FRONTEND-API-STATE; medium-large-file>=500loc; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/stores/preferencesStore.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,383,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/stores/secretsStore.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,5,P1,62,,,chunk:S-FRONTEND-API-STATE; dense boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/stores/sessionStore.guided.test.ts,src/elspeth/web/frontend/src/stores,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,668,,,chunk:S-FRONTEND-API-STATE; medium-large-file>=500loc; boundary/audit/config vocabulary; test/support file under src; capped<=3
